_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Delta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-336.72797,20000,-0.016697325,-1.4246105,1.242146,0.061348803,0.017034499,-2.628323,2.7907975,0.3685329,3.169020601490047e-16,-3.0164442882142817,3.0573493718474936,0.9999860477468397,-0.26534203111934496,-0.639276489533843,0.04162422476067255,0.018364321231725298,20,-0.005245547741651535,5.4957485,0.0016588242,0.6666666666666666,1.0,0.026856716905961243,-0.45924180617744526,-0.15455374508868958
-322.82782,20000,0.020528518,-1.3072237,1.2753465,0.07559275,0.023970684,-2.905952,2.6685302,0.36810824,-1.7053025658242403e-17,-3.543627227301902,3.4195086920378697,0.9999814695880861,-0.24799245384206037,-0.6184818021313957,0.09597035512224819,0.01704907446529928,40,-0.005758373998105526,5.504019,0.002550096,0.4444444444444444,1.0,0.025097877762035425,-0.4720518067255741,-0.4238362676413965
-309.85114,20000,0.02244492,-1.2412477,1.4517626,0.074743986,0.019878246,-2.6653316,2.8143795,0.3726451,-2.2737367544323207e-17,-3.3810857756444888,3.3601855877714075,0.9999825200667869,-0.24937496248383603,-0.66351378806212,0.07124760941959568,0.01874110582616951,60,-0.006109881214797497,5.4839234,0.0031673792,0.2962962962962963,1.0,0.02651374065527792,-0.4138658833398996,-0.4168771979754511
-284.00595,20000,0.032825053,-1.261352,1.3545263,0.0817939,0.032596774,-2.3888218,2.6864376,0.36734104,-3.694822225952521e-17,-4.340808432096362,3.2561598743019586,0.9999778358670249,-0.22826636977715825,-0.5989634251526883,0.030830909719684194,0.013064496106066867,80,-0.008007035590708256,5.468213,0.005367907,0.2962962962962963,1.0,0.021131226863717153,-0.6130403627740784,-0.5284346887038427
-253.59367,20000,0.032303207,-1.2831763,1.3213624,0.08071408,0.03623171,-2.4512556,2.9304614,0.36831483,4.263256414560601e-17,-3.893494285317265,3.9385717458380447,0.9999763496437974,-0.2072070519250505,-0.520009856789965,0.11859752017712608,0.010440691493227282,100,-0.006665894296020269,5.4546394,0.005075452,0.2962962962962963,1.0,0.0163343053742237,-0.5589439793136897,-0.7453538257347678
-252.88289,20000,0.03490567,-1.523328,1.2739865,0.08344361,0.03840815,-2.51265,2.9306896,0.3698407,1.1368683772161604e-17,-3.5012309493604206,3.5202476789801853,0.9999789613325268,-0.20486207936215065,-0.5155819734034671,0.08965004533968561,0.01165588034506015,120,-0.007799673825502396,5.4352255,0.003785659,0.19753086419753085,1.0,0.015537652125767324,-0.33276818621336357,-0.48739473447514525
-259.9765,20000,0.033374768,-1.4752003,1.359194,0.081638545,0.036300104,-2.8993053,2.9366498,0.36393082,-8.526512829121201e-18,-3.9760129585369857,3.5251078655728048,0.9999785422683383,-0.20902010745972902,-0.5855341361807418,0.08127205154943261,0.013861546594592588,140,-0.006922316737473011,5.39275,0.0057684495,0.19753086419753085,1.0,0.019111753431375327,-0.37842123484151213,-0.2915135319480928
-229.22856,20000,0.03171125,-1.3496816,1.3442963,0.079637915,0.018515157,-2.5255625,2.7553358,0.3620281,5.684341886080802e-18,-4.046555268091936,3.5428055367585203,0.9999776812143993,-0.18693820255220384,-0.5356906593306778,0.10878111713709994,0.011046390798634955,160,-0.007214652374386787,5.35511,0.005599781,0.19753086419753085,1.0,0.016847252477256235,-0.5197057288438194,-0.4579313946735226
-202.94347,20000,0.028104989,-1.471227,1.4092689,0.07894218,0.0149300005,-2.6144059,2.7270763,0.3556225,4.5474735088646414e-17,-3.133309627682487,3.7536252024915804,0.9999762742641735,-0.16802981057240976,-0.46089597679402905,0.11831540112921714,0.009406679952595066,180,-0.007870697416365147,5.3105392,0.0064076697,0.19753086419753085,1.0,0.013339771904029423,-0.4022624628102722,-0.6188718251324274
-206.314,20000,0.032305498,-1.4546796,1.4192437,0.08041297,0.009277722,-2.6760921,2.8124335,0.3565798,0.0,-4.143829479332123,3.4285791219621204,0.9999769067133102,-0.1664234992014092,-0.5314743805428089,0.08107230302717881,0.011376404258255961,200,-0.008175352588295937,5.2590704,0.007165762,0.19753086419753085,1.0,0.014998923602596978,-0.3143818191676362,-0.34805199465244185
-175.48843,20000,0.035952605,-1.4171182,1.3060846,0.07892761,0.020581035,-2.4241004,3.003857,0.34881827,0.0,-3.8910040953710743,3.331919772793133,0.9999709090926974,-0.14447710515781081,-0.4207152675128186,0.12314985215283564,0.00790253672953026,220,-0.007751980796456337,5.244445,0.007275561,0.19753086419753085,1.0,0.012208633908244008,-0.5371339046696555,-0.4593278164610375
-142.82812,20000,0.042073682,-1.332762,1.4823253,0.07699254,0.028311348,-2.9848258,2.5327387,0.34827447,-2.2737367544323207e-17,-3.072726353279343,4.8000288700802844,0.9999736919967841,-0.12357039314285082,-0.36443408982402475,0.14647306652051922,0.007366082808539471,240,-0.006822801195085049,5.218046,0.005315609,0.19753086419753085,1.0,0.010514209456348901,-0.40621436535474587,-0.585035411014676
-150.27208,20000,0.038646273,-1.3798828,1.3325821,0.07475756,0.01825189,-2.6583009,2.8347328,0.3489764,-1.4210854715202004e-18,-4.0296328548711156,3.754994277146919,0.9999720878276588,-0.12388076411576576,-0.43869693875815885,0.17358106593505646,0.007577686146050132,260,-0.007993493229150772,5.1927576,0.010439805,0.19753086419753085,1.0,0.010489909794048709,-0.38181853440438585,-0.347633412191672
-117.81545,20000,0.03695747,-1.342703,1.3009101,0.074377984,0.0040805377,-2.685189,2.5776029,0.34608483,1.1368683772161604e-17,-3.5004584305581017,3.864881363442106,0.9999739221990718,-0.10039771918499583,-0.4112821072868506,0.10440688787825002,0.006598587761586196,280,-0.008273978717625141,5.1808414,0.010024811,0.19753086419753085,1.0,0.008854384735373843,-0.32546712233130193,-0.4132568011368771
-151.6635,20000,0.032150753,-1.4620234,1.2898737,0.07975506,0.005254429,-2.8548775,2.665475,0.34582642,5.684341886080802e-18,-4.9374846480392796,3.5601722478930724,0.9999722664314686,-0.12354400552132237,-0.4562498280337289,0.0854645341641935,0.006732431967336713,300,-0.009697137400507927,5.17538,0.0091071045,0.19753086419753085,1.0,0.00913790718550076,-0.3556085435913179,-0.3991284307408818
-124.31332,20000,0.03589506,-1.4012419,1.3589746,0.07461648,-0.0007451919,-2.5276878,3.0429895,0.34494922,1.7053025658242403e-17,-4.56974272999486,4.716246441750067,0.9999712159908626,-0.10468712321104821,-0.3867887629626548,0.18115777081442944,0.006558185153011752,320,-0.00781741738319397,5.1367884,0.007979003,0.19753086419753085,1.0,0.008921762969434446,-0.3573767079449879,-0.3308667362385498
-107.09463,20000,0.03393287,-1.3219832,1.2947131,0.07514145,-0.009837467,-2.726001,2.726637,0.3450073,3.979039320256561e-17,-3.887950697860454,4.5473931176360685,0.9999689439164667,-0.08984649442839768,-0.32187793883399135,0.20161711552398567,0.006107770969040976,340,-0.009192150086164474,5.1097403,0.013004394,0.19753086419753085,1.0,0.008674418923985116,-0.41739630173035835,-0.4121798065847846
-94.82535,20000,0.032428402,-1.2983164,1.4223776,0.072577715,-0.020962385,-2.7590344,3.3843725,0.3423233,3.4106051316484806e-17,-4.145302239268177,4.567818111418048,0.9999632335405673,-0.07861072305333883,-0.2759556391561277,0.125723167900178,0.004951960384834553,360,-0.009354939684271812,5.091572,0.012374801,0.19753086419753085,1.0,0.007295091207384312,-0.4731451482885183,-0.46071016524357566
-86.480484,20000,0.038031615,-1.2275205,1.3084908,0.07367343,-0.0023542643,-2.37643,2.9213438,0.34040335,2.2737367544323207e-17,-3.1071605409256735,4.870350023790579,0.9999678984179482,-0.07364556295387495,-0.2760842300371243,0.22665614940471027,0.005952952745389953,380,-0.009910767897963524,5.0861845,0.009786809,0.19753086419753085,1.0,0.008920463566905179,-0.4917977903905202,-0.4520344542169943
-66.58236,20000,0.032867815,-1.2253557,1.4808509,0.07376303,-0.013951127,-2.9003818,2.7349489,0.34357274,0.0,-3.876303214393265,3.959504711885394,0.9999700491643678,-0.05551053574308421,-0.24296623830687025,0.1987859290326551,0.006161828709424408,400,-0.010690564289689064,5.0739546,0.014620726,0.19753086419753085,1.0,0.00841742297327712,-0.36598530673738794,-0.43833240462084166
-44.267113,20000,0.03648048,-1.2752194,1.5670851,0.074224696,-0.006238386,-2.67306,2.6457667,0.3476874,-5.684341886080802e-17,-4.127700515772837,4.461532213691197,0.9999693509677814,-0.03670913033829653,-0.2298341447718361,0.23208906730933976,0.005597049261908605,420,-0.010573369450867176,5.084752,0.009841519,0.19753086419753085,1.0,0.007629139947016564,-0.34556272148484135,-0.35086069808066966
-38.725418,20000,0.032388497,-1.324744,1.3835813,0.076295204,-0.016562436,-2.7063308,2.9371226,0.35330462,-1.1368683772161604e-17,-3.537702391738528,4.975938895441225,0.9999699789823356,-0.03550581841051217,-0.2704542617344138,0.2842895292865979,0.006744499653370494,440,-0.009175829589366913,5.0883045,0.012062479,0.19753086419753085,1.0,0.009624888370987243,-0.42587923584297704,-0.4735328918521504
-32.8255,20000,0.028396713,-1.249139,1.6331605,0.07815218,-0.03388767,-2.8101892,2.824593,0.35510778,4.831690603168681e-17,-4.0835703674371295,3.4751376509033483,0.9999740197648247,-0.030966454566309608,-0.34655998504205515,0.26103491386649125,0.009174208343642984,460,-0.010061533190310001,5.0721226,0.018292222,0.19753086419753085,1.0,0.012490095669505367,-0.34669894057506934,-0.35356729017697686
-45.070835,20000,0.0336773,-1.4625698,1.5309019,0.07705649,-0.033496488,-3.0401006,2.7754116,0.35350725,-2.842170943040401e-17,-3.5699321087550113,4.728273156232422,0.9999699088998419,-0.050501051077749375,-0.27787353366212897,0.2971106847324237,0.008398781790178335,480,-0.010688685812056065,5.0182886,0.010176405,0.19753086419753085,1.0,0.012598345858771752,-0.500001972983168,-0.42807236090835765
14.717321,20000,0.027182579,-1.3389438,1.3731376,0.07615093,-0.0392491,-3.0846689,2.750456,0.3466685,-1.1368683772161604e-17,-3.2754432956062063,4.301098688372452,0.9999733542402122,0.006183009744583013,-0.23739965009107328,0.31843697761290934,0.009591543446193307,500,-0.010580760426819324,4.983383,0.016383171,0.19753086419753085,1.0,0.015041355837157464,-0.5473636400092432,-0.4312953700922111
50.593452,20000,0.023904392,-1.2507969,1.5199542,0.07435629,-0.05346461,-2.8419495,2.7841372,0.34960178,-1.7053025658242403e-17,-3.4314352089269975,4.080707569388423,0.9999724122267578,0.03783380569030134,-0.184743992312894,0.3561021890521253,0.008778389475648294,520,-0.01250637136399746,4.956126,0.017466025,0.19753086419753085,1.0,0.013350005372250107,-0.5106571633334724,-0.44737336324294286
53.275597,20000,0.020803679,-1.3741841,1.4714518,0.078367025,-0.0633295,-2.915596,3.0034752,0.35309672,-2.2737367544323207e-17,-3.615983897430603,3.665052919860542,0.9999747549830943,0.034928746246222525,-0.24490005482769428,0.3592267953886702,0.013525918249391672,540,-0.011679911985993385,4.9243126,0.015666468,0.19753086419753085,1.0,0.021110974686736478,-0.5597969794904405,-0.5154237693586787
95.10474,20000,0.018202888,-1.4290355,1.4650396,0.07768497,-0.06875817,-2.8673706,2.5105174,0.35418892,-5.115907697472721e-17,-3.633845546040189,3.920985166593285,0.9999749189373851,0.07897284252907116,-0.254258156163948,0.4229814680418278,0.013991852747286277,560,-0.012250448577105999,4.917914,0.017969532,0.19753086419753085,1.0,0.02201847022681824,-0.5471083313407517,-0.4521404593151437
126.073654,20000,0.021119043,-1.2933493,1.5326513,0.08046618,-0.06583165,-2.8706222,2.5202055,0.36148977,5.684341886080802e-18,-4.184319588868154,3.6254550150741176,0.9999741886427151,0.09823167877348161,-0.2888318069574261,0.4450681844822284,0.016256047561039662,580,-0.011694145388901234,4.893812,0.017783469,0.19753086419753085,1.0,0.027591143492059177,-0.6902088405609728,-0.55894835492835
117.50413,20000,0.026436811,-1.2162927,1.6237311,0.07848175,-0.06279919,-2.923037,2.9764123,0.35991585,-1.1368683772161604e-17,-3.5969313885856056,3.367193009033228,0.9999744226295064,0.08485503027161594,-0.214703277869239,0.42585510987016595,0.011593295300147525,600,-0.010108592920005322,4.8508587,0.017053615,0.19753086419753085,1.0,0.018251170405602816,-0.5720511268053272,-0.623824751588324
152.16525,20000,0.018998323,-1.4321767,1.4422716,0.0785111,-0.06767796,-2.8802044,2.7546797,0.36001503,-2.2737367544323207e-17,-3.2664962718313624,3.63351338355081,0.9999750869362158,0.11985776900508797,-0.08990347833909128,0.4474703199709731,0.011716326613895213,620,-0.0109655000269413,4.815823,0.0126196155,0.19753086419753085,1.0,0.018189909970842424,-0.5507379170010653,-0.5317328439946416
204.1891,20000,0.021218142,-1.4423597,1.4639834,0.07852914,-0.07216142,-3.1019518,2.5983036,0.36242786,7.389644451905042e-17,-2.9918220823418573,4.648591125485109,0.9999741234133176,0.16078273134097004,-0.09150986842835396,0.5944577601673747,0.01307942083206167,640,-0.014177864417433739,4.818083,0.0223987,0.2962962962962963,1.0,0.02121978945662799,-0.5742818450025522,-0.5277251864211885
240.51518,20000,0.018892305,-1.3393205,1.6219927,0.081083976,-0.0802046,-3.1413786,2.75359,0.37553737,9.663381206337362e-17,-3.2992645406120715,4.412473850515841,0.9999829987207509,0.19598747566190508,-0.15305455204006518,0.7240039750419454,0.023602105431479888,660,-0.011735728941857815,4.8071795,0.016415259,0.2962962962962963,1.0,0.03343709674189099,-0.4090603148532661,-0.3118052071346311
200.18877,20000,0.026566908,-1.5131038,1.520607,0.0825537,-0.07079524,-3.1914282,2.9594533,0.3787644,0.0,-3.410896336364055,5.061067621195553,0.9999801639223155,0.15300238068335742,-0.28158423226582124,0.6293886428916424,0.02207162510236509,680,-0.011337315663695335,4.80661,0.014634238,0.2962962962962963,1.0,0.03634932704840349,-0.6460637251512924,-0.49280516540374886
233.91028,20000,0.023397472,-1.5886483,1.5352242,0.08246093,-0.0823545,-3.011962,2.860745,0.3889972,2.842170943040401e-17,-4.034792096243653,3.8341736648910247,0.999982053585105,0.17487573706237225,-0.1851437762877958,0.7041925768386341,0.02458453397406087,700,-0.013378748670220375,4.7693715,0.014437157,0.2962962962962963,1.0,0.03804656819859991,-0.5473879687300598,-0.5096940145678346
288.59518,20000,0.02483754,-1.3128645,1.5405378,0.083088264,-0.08089449,-3.0393615,2.628799,0.38839653,1.7053025658242403e-17,-3.4756552329852366,4.318654563307461,0.9999820966032777,0.21941692310557645,-0.07603589273782857,0.7346321453915327,0.025818684846876137,720,-0.011199571192264557,4.7402763,0.012185886,0.2962962962962963,1.0,0.04009611545463167,-0.5433955282607266,-0.5346729853183598
354.19666,20000,0.018154932,-1.5188421,1.4922166,0.0825618,-0.09505788,-3.1963806,2.4787111,0.38941813,-2.2737367544323207e-17,-3.014696497762676,3.1869665848794964,0.9999829855765916,0.2820538509742151,-0.11192294790374781,0.7248007659879447,0.03015731310926086,740,-0.01261337660253048,4.736698,0.012927057,0.2962962962962963,1.0,0.04703885112439367,-0.5421454271215396,-0.436176349754656
355.29034,20000,0.019653123,-1.481899,1.7050233,0.08324713,-0.09789202,-3.2827792,2.6082416,0.38787118,-4.5474735088646414e-17,-3.4092930991735457,3.428508045554894,0.9999815857941059,0.28179231072469785,-0.08724412810252286,0.705587895393615,0.02999975668813742,760,-0.014053190127015114,4.736512,0.018691717,0.2962962962962963,1.0,0.050952811150192755,-0.697185310790023,-0.5705400021283729
443.46246,20000,0.019215723,-1.5644048,1.6405828,0.082776226,-0.10004524,-3.067126,2.8187408,0.38898766,1.1368683772161604e-17,-3.5412473861157037,3.4534062216574064,0.9999849733889885,0.35031467559406204,-0.09485901029639357,0.8945929831539611,0.047836560977266664,780,-0.011814620345830917,4.7136407,0.016826853,0.2962962962962963,1.0,0.07427544522462398,-0.5338002637498596,-0.43767028340409264
479.41977,20000,0.013867017,-1.5907426,1.5436051,0.08282046,-0.116392925,-2.9443207,2.8052015,0.395053,8.526512829121202e-17,-3.6971903070252794,3.0940517884811394,0.9999855156924424,0.3892342057002281,-0.1338125587436989,0.8431389328886122,0.050523706568774376,800,-0.012811683118343353,4.7238593,0.015767042,0.2962962962962963,1.0,0.08455962172987508,-0.6729771207303898,-0.434924123811153
574.97894,20000,0.01321017,-1.5487167,1.7602144,0.082639016,-0.12499622,-3.2290463,3.0000985,0.4030141,3.126388037344441e-17,-3.7155076660569764,3.510863356971913,0.9999853310037881,0.4633453321456989,-0.043919910933589545,0.9679121153116241,0.04823746125980767,820,-0.012305065989494324,4.7150173,0.019908749,0.2962962962962963,1.0,0.08140045385398754,-0.6784525061807254,-0.6285322018316353
519.7733,20000,0.016568882,-1.4391888,1.6326026,0.08796106,-0.10898084,-3.1280243,2.8242683,0.41660365,-2.2737367544323207e-17,-4.201923233274109,2.872785802067093,0.9999872103440386,0.4124475292410092,-0.3246156298513199,0.8964212870472107,0.08064587333098114,840,-0.010897071100771427,4.7026815,0.011652605,0.2962962962962963,1.0,0.1372061824638217,-0.6987576335863068,-0.4962180999597241
585.78235,20000,0.0211798,-1.4568516,1.6832476,0.08651695,-0.10945148,-3.3497818,2.4605398,0.4189818,1.1368683772161604e-17,-4.531229188452672,3.1399495014893897,0.9999864368768847,0.4781352445597173,-0.0401888180462371,0.9241865348914512,0.06641420726251208,860,-0.01214306615293026,4.7064457,0.015205977,0.2962962962962963,1.0,0.11558550553248488,-0.7277839596530933,-0.6054559712607472
570.74133,20000,0.023500549,-1.5822102,1.687739,0.08599576,-0.10147418,-3.3379662,2.833301,0.42627776,5.684341886080802e-18,-4.205353296046796,3.7682536990628175,0.9999864908033478,0.45583645221350433,-0.09468653048778437,1.0126741152000558,0.06947927497548563,880,-0.01024624239653349,4.698028,0.010057548,0.2962962962962963,1.0,0.12013546597458238,-0.7290830831033364,-0.7451078972367562
642.8755,20000,0.017596232,-1.4893339,1.5304475,0.08507868,-0.11423538,-3.0619714,2.8423965,0.43071628,2.842170943040401e-18,-3.8531580696563066,4.419398487959929,0.9999864271562771,0.5135343771329375,-0.04611204497544244,1.1267170359288121,0.0655414476701667,900,-0.01417888980358839,4.6585836,0.021606836,0.4444444444444444,1.0,0.10595732525848647,-0.6162513388505035,-0.6113535990101173
696.2554,20000,0.023153586,-1.4141152,1.5929073,0.08568233,-0.10127287,-3.6446185,2.6353488,0.42968276,-2.2737367544323207e-17,-3.2698206324928742,3.282993434868415,0.9999894893595236,0.5504863591492597,-0.048517441448423765,1.246508343109543,0.0997369655780239,920,-0.010198934003710747,4.631857,0.010171166,0.4444444444444444,1.0,0.16283185645667794,-0.6310799331284003,-0.48890544897377675
696.02893,20000,0.025866613,-1.325975,1.5766978,0.08742705,-0.10344859,-2.939626,3.0855067,0.43939945,-2.842170943040401e-17,-4.316461199245809,3.3846999242948574,0.9999887781362193,0.5640838438288065,-0.07208066599771215,1.2988368411951399,0.08287679559099047,940,-0.011224624700844288,4.6235795,0.010662344,0.4444444444444444,1.0,0.1460205192345573,-0.7600730617140325,-0.666871415930052
776.5152,20000,0.020965964,-1.3984246,1.5728679,0.08715825,-0.118383124,-3.1626856,2.6634943,0.4421991,-2.2737367544323207e-17,-4.24377127892266,3.5358357884784226,0.9999889583723718,0.6388636047956233,-0.04638007628347177,1.19645841796249,0.09030301330530652,960,-0.010944953188300133,4.6054535,0.012282425,0.4444444444444444,1.0,0.1494503976659018,-0.6455258081797559,-0.6321913622397168
